,playerId,season,name,team,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts,birthDate,weight,nationality,shootsCatches,primaryNumber,position,height,Birth City,S/P,Draft Yr,Round,Overall,1st Season
5197,8475825,2020,Jani Hakanpaa,CAR,5on5,57,53792.0,1129.0,7.61,0.47,0.49,0.49,0.5,0.48,0.5,236.0,53.41,2.26,3.11,14.78,1.76,32.25,23.83,2.0,2.21,1.96,1.0,0.0,52.0,26.0,40.0,118.0,3.0,2.0,5.0,0.0,19.0,1.0,19.0,32.0,50.0,76.0,16.0,35.0,1.0,195.0,3.0,31.0,74.0,3.0,1.0,1.49,0.43,0.34,2.0,0.0,0.0,116.47,78.0,76.88,26.0,0.62,0.84,0.69,2.19,2.15,2.1,1129.0,128.0,148.0,191.0,662.0,136.0,156.0,167.0,670.0,1.0,0.0,117473.0,35.0,13.0,5.0,62.0,370.19,28.64,27.59,28.39,27.37,367.0,150.0,208.0,725.0,34.0,29.0,4.0,400.0,96.0,21.0,11.16,11.56,5.92,13.0,17.0,4.0,720.67,517.0,513.94,5.0,5.94,5.94,27.7,27.58,27.25,393.41,32.63,31.52,33.08,31.93,394.0,159.0,209.0,762.0,34.0,40.0,5.0,418.0,107.0,28.0,12.49,12.39,7.75,12.0,15.0,7.0,773.39,553.0,561.1,5.51,7.18,7.18,30.96,31.28,30.81,76.32,78.94,1774.0,1770.0,3.5,0.93,72.0,17.0,51.0,13.0,1992-03-31,218.0,FIN,R,28.0,D,195.58,,,,,,
5302,8477046,2020,Joakim Ryan,CAR,5on5,4,2425.0,53.0,0.1,0.44,0.42,0.49,0.45,0.51,0.45,21.0,1.21,0.05,0.1,0.33,0.04,0.88,0.61,0.05,0.05,0.05,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3.66,2.0,1.92,0.0,0.02,0.0,0.0,0.07,0.07,0.07,53.0,3.0,8.0,11.0,31.0,9.0,13.0,6.0,25.0,0.0,0.0,8770.0,0.0,2.0,1.0,1.0,18.1,1.48,1.4,1.51,1.43,23.0,3.0,8.0,34.0,0.0,1.0,0.0,21.0,4.0,1.0,0.56,0.56,0.36,0.0,0.0,0.0,33.83,26.0,26.33,0.25,0.36,0.36,1.37,1.42,1.39,18.6,1.93,1.92,1.89,1.88,17.0,8.0,11.0,36.0,1.0,1.0,0.0,16.0,8.0,1.0,0.63,1.05,0.25,1.0,0.0,0.0,35.21,25.0,24.41,0.3,0.2,0.2,2.02,1.99,1.99,5.31,7.27,111.0,137.0,0.31,0.05,4.0,1.0,4.0,1.0,1993-06-17,185.0,USA,L,47.0,D,180.34,Rumson,NJ,2012,7,198,2017.0
1482,8476441,2019,Joel Edmundson,CAR,5on5,68,61678.0,1347.0,24.42,0.48,0.55,0.51,0.56,0.5,0.55,281.0,79.6,4.64,4.89,22.4,2.89,48.07,34.23,4.41,4.71,4.47,4.0,8.0,88.0,31.0,50.0,169.0,18.0,6.0,11.0,1.0,18.0,2.0,47.0,35.0,82.0,113.0,27.0,60.0,0.0,108.0,20.0,40.0,107.0,7.0,5.0,2.41,0.84,1.41,4.0,1.0,1.0,171.72,119.0,120.41,28.0,0.99,2.9,1.52,3.98,4.05,3.96,1347.0,132.0,147.0,268.0,800.0,194.0,179.0,184.0,790.0,0.0,0.0,132151.0,60.0,32.0,13.0,58.0,499.57,42.11,40.71,42.5,41.09,520.0,197.0,238.0,955.0,44.0,43.0,8.0,556.0,126.0,35.0,16.87,15.63,9.62,19.0,17.0,8.0,965.71,717.0,723.17,6.65,8.37,8.3,39.81,40.15,39.46,519.13,45.18,43.71,45.07,43.63,546.0,174.0,206.0,926.0,45.0,51.0,13.0,533.0,150.0,37.0,16.19,18.4,10.59,15.0,16.0,14.0,921.02,720.0,717.24,6.93,9.7,10.12,41.46,41.34,40.8,99.22,81.26,2202.0,1752.0,4.15,0.81,89.0,18.0,74.0,15.0,1993-06-28,215.0,CAN,L,6.0,D,193.04,Brandon,MB,2011,2,46,2015.0
8032,8480466,2020,Joey Keane,CAR,5on5,1,972.0,20.0,0.47,0.4,0.35,0.6,0.45,0.52,0.43,2.0,0.73,0.03,0.04,0.14,0.02,0.45,0.32,0.03,0.03,0.03,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,2.73,1.0,0.95,1.0,0.01,0.0,0.0,0.04,0.04,0.04,20.0,3.0,2.0,1.0,14.0,3.0,2.0,3.0,12.0,0.0,0.0,1811.0,0.0,0.0,0.0,0.0,7.38,0.43,0.43,0.42,0.42,9.0,2.0,4.0,15.0,0.0,0.0,0.0,10.0,1.0,0.0,0.32,0.11,0.0,0.0,0.0,0.0,13.59,11.0,10.5,0.1,0.0,0.0,0.53,0.52,0.52,7.04,0.65,0.64,0.66,0.66,5.0,5.0,0.0,10.0,0.0,0.0,0.0,7.0,3.0,0.0,0.28,0.37,0.0,0.0,0.0,0.0,10.97,10.0,10.5,0.11,0.0,0.0,0.76,0.78,0.77,1.02,1.91,19.0,23.0,0.01,0.0,3.0,0.0,1.0,0.0,1999-07-02,187.0,USA,R,44.0,D,182.88,Chicago,IL,2018,3,88,2020.0
10887,8480466,2021,Joey Keane,CAR,5on5,1,817.0,17.0,0.07,0.45,0.51,0.58,0.57,0.53,0.52,6.0,1.33,0.04,0.08,0.42,0.04,0.84,0.58,0.04,0.04,0.04,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,2.04,2.0,2.02,0.0,0.02,0.0,0.0,0.05,0.05,0.05,17.0,6.0,0.0,3.0,8.0,4.0,3.0,0.0,10.0,0.0,0.0,1904.0,2.0,0.0,0.0,0.0,5.9,0.27,0.27,0.27,0.26,5.0,4.0,2.0,11.0,0.0,0.0,0.0,9.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,11.42,9.0,9.14,0.07,0.0,0.0,0.34,0.34,0.34,5.59,0.33,0.32,0.32,0.32,7.0,1.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,7.4,8.0,7.65,0.07,0.0,0.0,0.4,0.39,0.39,1.93,1.83,42.0,32.0,0.04,0.0,2.0,0.0,1.0,0.0,1999-07-02,187.0,USA,R,44.0,D,182.88,Chicago,IL,2018,3,88,2020.0
13152,8479320,2021,Max Lajoie,CAR,5on5,5,3413.0,71.0,2.2,0.53,0.56,0.61,0.56,0.59,0.55,31.0,6.99,0.37,0.37,2.1,0.22,4.15,2.79,0.36,0.35,0.34,0.0,0.0,6.0,4.0,8.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,6.0,10.0,0.0,0.0,0.0,3.0,0.0,1.0,9.0,1.0,0.0,0.23,0.14,0.0,0.0,0.0,0.0,17.21,10.0,9.49,1.0,0.08,0.0,0.0,0.45,0.42,0.41,71.0,14.0,5.0,9.0,43.0,6.0,4.0,7.0,54.0,0.0,0.0,11633.0,0.0,0.0,0.0,5.0,33.12,3.04,2.92,2.97,2.85,35.0,11.0,19.0,65.0,3.0,3.0,1.0,33.0,11.0,2.0,0.93,1.54,0.57,0.0,2.0,1.0,63.5,46.0,44.68,0.43,0.65,0.85,2.62,2.57,2.52,23.79,2.7,2.56,2.72,2.57,22.0,10.0,9.0,41.0,1.0,3.0,0.0,21.0,7.0,4.0,0.67,0.81,1.22,0.0,0.0,1.0,40.56,32.0,32.28,0.32,0.69,0.69,2.33,2.38,2.29,9.2,7.37,194.0,154.0,0.31,0.0,6.0,0.0,5.0,0.0,1997-11-05,183.0,CAN,L,58.0,D,185.42000000000002,,,,,,
17322,8479320,2022,Max Lajoie,CAR,5on5,3,1377.0,28.0,0.4,0.5,0.57,0.58,0.62,0.57,0.59,20.0,2.11,0.07,0.12,0.94,0.11,1.07,0.69,0.07,0.08,0.07,0.0,0.0,2.0,1.0,4.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,7.92,3.0,3.36,0.0,0.03,0.06,0.0,0.09,0.1,0.1,28.0,4.0,1.0,3.0,20.0,2.0,6.0,3.0,17.0,0.0,0.0,7501.0,0.0,0.0,0.0,0.0,8.85,0.82,0.76,0.88,0.82,9.0,3.0,7.0,19.0,0.0,2.0,0.0,9.0,1.0,2.0,0.23,0.15,0.45,0.0,0.0,0.0,20.89,12.0,13.09,0.13,0.31,0.31,0.65,0.7,0.69,7.07,0.82,0.82,0.74,0.74,7.0,2.0,5.0,14.0,0.0,0.0,0.0,6.0,1.0,2.0,0.23,0.1,0.48,0.0,0.0,0.0,12.37,9.0,8.05,0.13,0.0,0.0,0.95,0.86,0.86,5.44,4.1,142.0,86.0,0.01,0.0,1.0,0.0,1.0,0.0,1997-11-05,183.0,CAN,L,58.0,D,185.42000000000002,,,,,,
15477,8476906,2022,Shayne Gostisbehere,CAR,5on5,75,75017.0,1524.0,47.77,0.49,0.47,0.51,0.49,0.51,0.48,216.0,98.17,4.62,5.89,26.18,3.44,59.63,44.23,4.52,4.58,4.48,7.0,8.0,93.0,51.0,72.0,216.0,19.0,4.0,5.0,0.0,23.0,4.0,48.0,60.0,89.0,140.0,8.0,16.0,0.0,39.0,26.0,48.0,135.0,8.0,1.0,3.39,0.97,0.26,3.0,1.0,0.0,212.39,144.0,143.08,35.0,1.18,1.51,0.23,5.58,5.53,5.41,1524.0,188.0,178.0,247.0,911.0,178.0,235.0,225.0,886.0,0.0,0.0,143052.0,16.0,38.0,18.0,73.0,630.77,54.19,52.59,54.12,52.52,591.0,285.0,296.0,1172.0,52.0,47.0,11.0,650.0,180.0,46.0,19.84,21.92,12.42,17.0,24.0,11.0,1157.91,876.0,870.52,8.84,9.01,9.01,54.02,53.85,52.82,598.58,55.38,53.51,56.23,54.3,600.0,228.0,279.0,1107.0,55.0,56.0,8.0,588.0,195.0,45.0,18.42,24.76,12.2,23.0,21.0,11.0,1129.8,828.0,841.03,8.51,10.73,10.73,53.16,53.85,52.91,93.61,106.17,2077.0,2151.0,4.68,0.68,91.0,12.0,70.0,10.0,1993-04-20,180.0,USA,L,53.0,D,180.34,Pembroke Pines,FL,2012,3,78,2014.0
11297,8477950,2021,Tony DeAngelo,CAR,5on5,64,60722.0,1258.0,61.38,0.56,0.55,0.55,0.56,0.55,0.56,246.0,92.44,3.85,5.39,26.13,3.25,54.96,40.41,3.71,3.91,3.77,10.0,7.0,108.0,26.0,44.0,178.0,25.0,8.0,3.0,2.0,36.0,2.0,35.0,50.0,100.0,126.0,15.0,34.0,0.0,37.0,18.0,31.0,126.0,7.0,1.0,2.77,0.8,0.28,5.0,2.0,1.0,182.43,134.0,136.94,18.0,1.08,1.21,0.65,4.29,4.37,4.3,1258.0,174.0,109.0,216.0,759.0,144.0,179.0,177.0,758.0,0.0,0.0,123040.0,34.0,30.0,12.0,51.0,605.59,53.69,51.69,54.66,52.63,584.0,262.0,243.0,1089.0,65.0,59.0,14.0,623.0,176.0,47.0,18.34,21.89,13.46,21.0,28.0,16.0,1115.06,846.0,864.66,8.35,11.82,12.18,49.86,50.58,49.54,511.94,42.9,41.44,42.64,41.2,504.0,197.0,197.0,898.0,33.0,51.0,6.0,524.0,142.0,35.0,15.56,17.58,9.76,15.0,12.0,6.0,882.11,701.0,691.65,6.83,9.56,9.5,40.17,39.91,39.32,102.11,83.71,2114.0,1648.0,2.83,0.61,69.0,19.0,60.0,12.0,1995-10-24,180.0,USA,R,77.0,D,180.34,Sewell,NJ,2014,1,19,2016.0
19082,8477950,2023,Tony DeAngelo,CAR,5on5,31,21118.0,432.0,14.3,0.48,0.58,0.56,0.61,0.54,0.6,176.0,33.84,1.26,1.79,11.13,1.13,18.5,13.2,1.21,1.25,1.2,2.0,0.0,34.0,13.0,22.0,69.0,3.0,1.0,2.0,0.0,11.0,0.0,16.0,17.0,33.0,46.0,1.0,2.0,0.0,4.0,5.0,11.0,46.0,1.0,0.0,1.06,0.19,0.0,1.0,0.0,0.0,68.85,47.0,46.52,7.0,0.37,0.1,0.08,1.55,1.54,1.49,432.0,66.0,29.0,57.0,280.0,72.0,70.0,50.0,240.0,0.0,0.0,69113.0,2.0,2.0,1.0,16.0,207.28,14.18,13.65,14.16,13.64,196.0,97.0,115.0,408.0,11.0,15.0,0.0,242.0,42.0,9.0,6.59,5.08,2.5,8.0,3.0,0.0,405.93,293.0,290.93,2.65,2.07,2.07,14.76,14.73,14.36,180.0,15.36,14.84,15.36,14.84,181.0,65.0,81.0,327.0,18.0,19.0,2.0,177.0,60.0,9.0,5.43,7.13,2.8,7.0,9.0,2.0,324.86,246.0,245.82,2.45,3.41,3.41,14.4,14.41,14.17,52.88,37.63,1366.0,873.0,0.53,0.11,24.0,4.0,18.0,3.0,1995-10-24,180.0,USA,R,77.0,D,180.34,Sewell,NJ,2014,1,19,2016.0
3992,8477845,2019,Trevor van Riemsdyk,CAR,5on5,49,38598.0,838.0,12.95,0.53,0.52,0.53,0.54,0.52,0.53,243.0,46.59,1.42,2.45,13.13,1.52,29.01,21.6,1.38,1.43,1.38,2.0,5.0,52.0,19.0,35.0,106.0,8.0,1.0,4.0,0.0,13.0,3.0,24.0,26.0,51.0,70.0,5.0,10.0,0.0,19.0,12.0,13.0,69.0,2.0,0.0,1.18,0.24,0.0,1.0,0.0,0.0,106.11,71.0,70.96,8.0,0.48,0.41,0.0,1.77,1.77,1.72,838.0,87.0,71.0,144.0,536.0,103.0,118.0,121.0,496.0,0.0,0.0,101002.0,10.0,6.0,3.0,28.0,303.79,24.97,23.54,25.38,23.92,310.0,132.0,154.0,596.0,22.0,26.0,4.0,362.0,56.0,24.0,11.47,6.75,6.74,12.0,6.0,4.0,600.86,442.0,444.92,3.88,5.41,5.33,22.46,22.67,22.21,291.56,22.45,21.85,22.41,21.82,308.0,108.0,113.0,529.0,29.0,21.0,4.0,330.0,72.0,14.0,9.43,9.01,4.01,9.0,14.0,6.0,526.52,416.0,415.03,3.72,4.1,4.1,21.36,21.39,21.03,73.56,67.52,1646.0,1411.0,3.22,0.31,60.0,12.0,47.0,9.0,1991-07-24,192.0,USA,R,57.0,D,187.96,Middletown,NJ,--,--,--,2014.0
10117,8480871,2021,Adam Boqvist,CBJ,5on5,52,45059.0,979.0,18.6,0.45,0.43,0.48,0.47,0.47,0.46,231.0,51.92,3.46,3.31,13.32,1.78,29.25,20.88,3.34,3.49,3.37,3.0,5.0,51.0,21.0,31.0,103.0,16.0,8.0,3.0,2.0,14.0,1.0,22.0,24.0,43.0,64.0,6.0,12.0,0.0,24.0,9.0,25.0,60.0,8.0,4.0,1.52,0.95,0.99,4.0,2.0,2.0,101.89,72.0,72.22,22.0,0.68,0.66,1.0,3.14,3.13,3.09,979.0,137.0,88.0,145.0,609.0,107.0,162.0,148.0,562.0,0.0,0.0,110613.0,12.0,14.0,7.0,41.0,391.68,32.28,31.26,32.5,31.45,404.0,137.0,174.0,715.0,40.0,31.0,6.0,420.0,93.0,28.0,12.59,11.42,8.27,20.0,12.0,8.0,711.05,541.0,541.08,5.17,7.46,7.46,29.99,30.07,29.68,445.95,39.21,37.55,39.64,37.99,463.0,157.0,155.0,775.0,44.0,38.0,4.0,459.0,126.0,35.0,14.48,15.14,9.59,20.0,18.0,6.0,792.0,620.0,628.74,6.25,8.49,8.83,36.57,37.03,36.28,69.04,91.3,1597.0,1798.0,2.34,1.1,57.0,22.0,43.0,16.0,2000-08-15,179.0,SWE,R,27.0,D,180.34,Falun,--,2018,1,8,2019.0
16097,8480871,2022,Adam Boqvist,CBJ,5on5,46,41194.0,899.0,19.9,0.45,0.43,0.48,0.44,0.48,0.43,201.0,44.13,2.17,2.54,11.02,1.41,25.51,19.34,2.11,2.17,2.12,4.0,4.0,44.0,18.0,25.0,87.0,13.0,5.0,1.0,0.0,15.0,3.0,17.0,21.0,39.0,57.0,3.0,6.0,0.0,21.0,10.0,22.0,59.0,2.0,1.0,1.74,0.23,0.21,4.0,0.0,1.0,85.45,62.0,61.68,18.0,0.51,0.17,0.07,2.62,2.62,2.55,899.0,122.0,74.0,116.0,587.0,65.0,153.0,135.0,546.0,0.0,0.0,96845.0,6.0,14.0,7.0,39.0,356.68,30.38,29.61,30.19,29.43,337.0,153.0,158.0,648.0,33.0,33.0,7.0,368.0,100.0,22.0,12.2,12.07,6.11,16.0,12.0,5.0,633.4,490.0,482.7,4.9,6.07,6.02,29.27,29.06,28.55,397.18,37.5,35.74,38.09,36.31,413.0,128.0,166.0,707.0,40.0,45.0,7.0,374.0,132.0,35.0,11.13,16.45,9.92,15.0,18.0,7.0,732.72,541.0,555.16,5.81,8.33,8.33,34.99,35.62,34.89,65.5,85.35,1391.0,1778.0,2.34,0.21,66.0,6.0,41.0,5.0,2000-08-15,179.0,SWE,R,27.0,D,180.34,Falun,--,2018,1,8,2019.0
23352,8480871,2023,Adam Boqvist,CBJ,5on5,35,32646.0,641.0,10.97,0.44,0.49,0.49,0.49,0.48,0.49,134.0,38.3,1.96,2.23,11.37,1.28,21.87,15.28,1.89,1.97,1.91,1.0,4.0,32.0,22.0,30.0,84.0,6.0,1.0,3.0,0.0,12.0,1.0,14.0,23.0,31.0,53.0,0.0,0.0,0.0,11.0,7.0,13.0,49.0,4.0,1.0,1.24,0.42,0.29,1.0,0.0,0.0,84.54,54.0,53.99,11.0,0.46,0.43,0.2,2.22,2.24,2.19,641.0,89.0,69.0,105.0,378.0,59.0,95.0,78.0,409.0,0.0,0.0,70913.0,0.0,8.0,4.0,37.0,305.81,24.58,23.2,24.54,23.19,291.0,131.0,167.0,589.0,26.0,33.0,3.0,321.0,79.0,22.0,9.16,9.81,5.6,12.0,10.0,4.0,590.31,422.0,422.2,4.22,5.24,4.94,23.86,23.93,23.35,333.95,30.87,29.25,31.29,29.63,328.0,130.0,156.0,614.0,28.0,49.0,4.0,333.0,87.0,38.0,9.48,10.91,10.48,13.0,9.0,6.0,619.93,458.0,460.95,4.58,9.53,9.53,25.93,26.31,25.75,48.53,51.09,1164.0,1188.0,2.27,0.5,50.0,8.0,32.0,8.0,2000-08-15,179.0,SWE,R,27.0,D,180.34,Falun,--,2018,1,8,2019.0
4162,8479369,2019,Andrew Peeke,CBJ,5on5,22,17417.0,373.0,6.17,0.52,0.53,0.52,0.51,0.54,0.53,120.0,24.71,1.1,1.46,7.01,0.83,15.02,10.57,1.02,1.11,1.03,1.0,1.0,22.0,14.0,15.0,51.0,3.0,1.0,1.0,1.0,7.0,1.0,11.0,15.0,21.0,35.0,2.0,4.0,0.0,24.0,3.0,8.0,33.0,2.0,1.0,0.72,0.18,0.2,0.0,0.0,1.0,49.78,36.0,35.41,7.0,0.29,0.31,0.3,1.1,1.09,1.07,373.0,38.0,42.0,53.0,240.0,62.0,57.0,51.0,203.0,0.0,0.0,50861.0,4.0,2.0,1.0,20.0,148.02,10.42,9.97,10.42,9.98,155.0,52.0,59.0,266.0,11.0,9.0,2.0,165.0,35.0,7.0,4.38,4.05,2.0,6.0,2.0,3.0,262.52,207.0,204.59,1.85,1.94,1.97,10.31,10.34,10.16,124.4,9.45,9.22,9.43,9.2,129.0,45.0,67.0,241.0,9.0,4.0,1.0,138.0,29.0,7.0,3.67,3.81,1.96,5.0,2.0,2.0,242.52,174.0,174.92,1.59,1.17,1.17,9.87,9.89,9.75,34.53,30.82,790.0,752.0,1.53,0.64,27.0,11.0,22.0,6.0,1998-03-17,194.0,USA,R,2.0,D,190.5,Parkland,FL,2016,2,34,2019.0
8652,8479369,2020,Andrew Peeke,CBJ,5on5,11,11075.0,233.0,-0.58,0.47,0.46,0.43,0.47,0.46,0.47,45.0,6.02,0.25,0.35,1.49,0.18,3.76,2.96,0.25,0.27,0.27,0.0,2.0,5.0,4.0,4.0,13.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,5.0,9.0,2.0,4.0,0.0,35.0,5.0,6.0,8.0,1.0,0.0,0.1,0.15,0.0,0.0,0.0,0.0,13.47,9.0,9.24,6.0,0.07,0.0,0.0,0.32,0.34,0.34,233.0,19.0,30.0,30.0,154.0,36.0,34.0,34.0,129.0,0.0,0.0,24684.0,4.0,2.0,1.0,14.0,84.73,6.89,6.61,6.89,6.61,84.0,33.0,28.0,145.0,5.0,12.0,2.0,92.0,18.0,7.0,2.63,2.38,1.88,1.0,0.0,4.0,145.26,117.0,117.31,1.17,2.21,2.21,5.85,5.88,5.84,97.36,7.77,7.42,7.82,7.48,102.0,38.0,51.0,191.0,11.0,9.0,3.0,114.0,20.0,6.0,3.38,2.35,2.04,6.0,2.0,3.0,193.87,140.0,141.39,1.39,1.95,1.95,7.21,7.28,7.13,12.96,14.97,324.0,367.0,0.43,0.07,12.0,1.0,10.0,1.0,1998-03-17,194.0,USA,R,2.0,D,190.5,Parkland,FL,2016,2,34,2019.0
9192,8479369,2021,Andrew Peeke,CBJ,5on5,82,87298.0,1737.0,5.85,0.45,0.45,0.46,0.49,0.45,0.47,240.0,69.74,2.41,3.8,19.35,2.29,41.23,31.91,2.37,2.44,2.39,4.0,8.0,66.0,35.0,57.0,158.0,12.0,0.0,5.0,0.0,22.0,3.0,28.0,43.0,66.0,101.0,26.0,58.0,0.0,164.0,13.0,30.0,95.0,5.0,1.0,1.72,0.46,0.23,0.0,0.0,0.0,158.47,101.0,101.58,25.0,0.75,1.17,0.21,2.96,2.97,2.94,1737.0,151.0,234.0,313.0,1039.0,263.0,212.0,255.0,1007.0,0.0,0.0,156674.0,58.0,36.0,15.0,125.0,662.13,54.16,52.4,54.25,52.53,646.0,282.0,300.0,1228.0,52.0,50.0,12.0,713.0,172.0,43.0,21.35,20.35,12.47,19.0,20.0,13.0,1223.37,928.0,928.65,8.99,9.95,10.26,52.89,52.97,52.1,805.39,67.21,65.25,67.99,65.99,830.0,285.0,347.0,1462.0,77.0,42.0,8.0,839.0,232.0,44.0,26.18,28.59,12.44,31.0,36.0,10.0,1484.24,1115.0,1126.29,11.17,9.51,9.51,68.87,69.64,68.49,109.11,132.49,2405.0,2509.0,5.87,1.15,135.0,28.0,103.0,22.0,1998-03-17,194.0,USA,R,2.0,D,190.5,Parkland,FL,2016,2,34,2019.0
