,playerId,season,name,team,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts,birthDate,weight,nationality,shootsCatches,primaryNumber,position,height,Birth City,S/P,Draft Yr,Round,Overall,1st Season
4892,8480944,2020,Par Lindholm,BOS,5on5,1,753.0,16.0,-0.27,0.24,0.66,0.29,0.5,0.25,0.47,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,4.0,11.0,0.0,1.0,1.0,14.0,4.0,1.0,2322.0,0.0,0.0,0.0,0.0,2.06,0.06,0.06,0.06,0.06,0.0,3.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,4.32,3.0,3.14,0.02,0.0,0.0,0.08,0.09,0.09,6.1,0.19,0.19,0.19,0.18,5.0,4.0,1.0,10.0,0.0,0.0,0.0,9.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,9.17,9.0,8.68,0.06,0.0,0.0,0.26,0.25,0.25,1.07,0.55,26.0,26.0,0.01,0.03,1.0,3.0,1.0,3.0,1991-10-05,183.0,SWE,L,26.0,C,182.88,Kusmark,--,--,--,--,2018.0
19617,8474034,2023,Pat Maroon,BOS,5on5,51,36158.0,710.0,9.67,0.45,0.51,0.46,0.5,0.45,0.5,343.0,50.16,4.56,3.61,10.93,1.65,25.7,19.55,4.42,4.56,4.42,7.0,4.0,49.0,17.0,29.0,95.0,15.0,4.0,4.0,1.0,7.0,0.0,23.0,28.0,45.0,62.0,15.0,48.0,11.0,80.0,15.0,17.0,47.0,14.0,5.0,1.56,1.74,1.27,1.0,1.0,2.0,95.87,66.0,66.31,7.0,0.75,0.58,1.26,4.04,4.06,4.0,710.0,80.0,101.0,149.0,380.0,119.0,121.0,107.0,363.0,11.0,18.0,111632.0,48.0,44.0,13.0,16.0,257.39,19.77,19.37,19.68,19.28,247.0,108.0,174.0,529.0,22.0,18.0,2.0,272.0,69.0,14.0,7.51,8.85,3.41,8.0,10.0,4.0,527.25,355.0,354.43,3.47,3.25,3.42,19.81,19.73,19.54,318.7,24.02,23.31,24.37,23.64,296.0,144.0,174.0,614.0,30.0,20.0,1.0,347.0,72.0,21.0,9.5,8.73,5.79,14.0,13.0,3.0,622.12,440.0,447.44,4.18,4.37,4.37,23.82,24.14,23.69,72.67,70.97,1767.0,1733.0,0.78,0.61,25.0,24.0,19.0,18.0,1988-04-23,225.0,USA,L,7.0,L,190.5,,,,,,
1457,8470638,2019,Patrice Bergeron,BOS,5on5,61,45748.0,1037.0,68.1,0.56,0.52,0.56,0.5,0.55,0.5,381.0,108.06,8.29,6.89,25.1,3.55,60.22,45.95,8.08,8.49,8.27,4.0,8.0,115.0,35.0,33.0,183.0,25.0,13.0,6.0,2.0,27.0,3.0,50.0,51.0,102.0,137.0,12.0,26.0,476.0,40.0,29.0,16.0,119.0,26.0,5.0,3.92,2.93,1.44,5.0,4.0,4.0,187.53,150.0,153.41,8.0,1.41,0.92,0.69,9.02,9.2,9.0,1037.0,191.0,105.0,211.0,530.0,102.0,118.0,167.0,650.0,476.0,328.0,131782.0,26.0,14.0,7.0,30.0,412.5,32.03,31.41,32.75,32.11,427.0,145.0,192.0,764.0,48.0,21.0,5.0,435.0,118.0,19.0,12.78,13.95,5.3,19.0,22.0,7.0,778.27,572.0,582.72,5.65,4.36,4.14,33.55,34.17,33.7,333.9,25.2,24.53,24.9,24.24,329.0,133.0,147.0,609.0,27.0,14.0,3.0,351.0,99.0,12.0,10.02,11.94,3.25,11.0,12.0,4.0,598.51,462.0,456.59,4.46,3.13,2.66,27.0,26.73,26.38,81.29,76.29,1886.0,1918.0,0.98,2.06,28.0,34.0,22.0,27.0,1985-07-24,195.0,CAN,R,37.0,C,185.42000000000002,L'Ancienne-Lorette,QC,2003,2,45,2003.0
5877,8470638,2020,Patrice Bergeron,BOS,5on5,54,40434.0,952.0,68.81,0.59,0.5,0.63,0.51,0.64,0.52,360.0,112.28,9.96,7.1,25.75,3.85,63.73,47.6,9.68,9.93,9.64,7.0,8.0,114.0,44.0,24.0,182.0,27.0,12.0,3.0,2.0,34.0,5.0,51.0,53.0,102.0,146.0,6.0,12.0,448.0,45.0,29.0,7.0,109.0,42.0,7.0,3.41,4.77,1.79,2.0,7.0,3.0,182.78,158.0,158.18,4.0,1.47,0.69,1.44,9.99,9.92,9.76,952.0,162.0,123.0,176.0,491.0,101.0,102.0,149.0,600.0,448.0,289.0,119015.0,12.0,8.0,3.0,22.0,418.81,30.14,29.29,30.38,29.5,441.0,150.0,153.0,744.0,46.0,26.0,10.0,471.0,102.0,18.0,12.85,11.92,5.37,19.0,18.0,9.0,751.72,591.0,596.5,5.42,5.7,5.56,30.0,30.13,29.64,246.22,21.21,20.71,21.36,20.86,243.0,94.0,103.0,440.0,24.0,17.0,5.0,252.0,68.0,17.0,7.24,8.47,5.5,8.0,10.0,6.0,438.37,337.0,337.2,3.29,4.5,4.57,19.95,20.12,19.92,68.97,69.17,1728.0,1631.0,1.21,1.76,25.0,33.0,20.0,32.0,1985-07-24,195.0,CAN,R,37.0,C,185.42000000000002,L'Ancienne-Lorette,QC,2003,2,45,2003.0
11852,8470638,2021,Patrice Bergeron,BOS,5on5,73,54435.0,1281.0,101.69,0.68,0.53,0.66,0.51,0.66,0.52,498.0,174.5,15.16,10.8,40.84,5.57,92.54,72.3,14.33,15.41,14.54,10.0,9.0,198.0,42.0,39.0,279.0,33.0,14.0,14.0,5.0,59.0,6.0,65.0,82.0,184.0,226.0,5.0,10.0,670.0,66.0,29.0,17.0,176.0,53.0,11.0,5.3,6.25,3.61,4.0,5.0,5.0,284.97,240.0,243.84,6.0,2.22,3.37,3.9,13.28,13.36,13.06,1281.0,242.0,154.0,213.0,672.0,153.0,134.0,141.0,853.0,670.0,379.0,157764.0,10.0,20.0,10.0,31.0,654.79,53.21,50.85,53.99,51.57,720.0,194.0,228.0,1142.0,49.0,59.0,14.0,705.0,164.0,45.0,20.06,19.77,13.38,17.0,16.0,16.0,1159.65,914.0,926.14,8.64,13.19,13.04,48.03,48.49,47.28,330.5,24.49,24.01,24.57,24.09,352.0,112.0,137.0,601.0,25.0,15.0,3.0,372.0,74.0,18.0,10.4,9.06,5.03,9.0,10.0,6.0,596.32,464.0,461.27,4.32,3.07,3.26,25.15,25.13,24.86,106.12,94.26,2298.0,2247.0,1.5,1.86,35.0,37.0,29.0,30.0,1985-07-24,195.0,CAN,R,37.0,C,185.42000000000002,L'Ancienne-Lorette,QC,2003,2,45,2003.0
14652,8470638,2022,Patrice Bergeron,BOS,5on5,78,53655.0,1406.0,86.88,0.64,0.51,0.6,0.48,0.6,0.49,612.0,164.92,17.91,11.49,36.75,5.35,87.03,64.46,17.3,18.14,17.53,8.0,9.0,165.0,58.0,56.0,279.0,31.0,14.0,12.0,3.0,42.0,8.0,61.0,86.0,151.0,209.0,5.0,10.0,665.0,58.0,30.0,13.0,145.0,59.0,19.0,5.08,7.51,5.32,3.0,8.0,3.0,287.23,223.0,228.83,3.0,2.41,2.01,4.32,16.01,16.21,15.82,1406.0,315.0,227.0,195.0,669.0,124.0,155.0,197.0,930.0,665.0,398.0,168740.0,10.0,26.0,11.0,30.0,592.74,54.92,52.94,55.55,53.57,590.0,208.0,261.0,1059.0,46.0,55.0,9.0,566.0,183.0,49.0,17.35,23.52,14.04,15.0,21.0,10.0,1082.33,798.0,813.14,8.49,11.52,11.62,51.78,52.4,51.22,392.95,30.74,29.63,30.4,29.31,387.0,154.0,171.0,712.0,18.0,34.0,2.0,419.0,96.0,26.0,11.34,12.16,7.24,9.0,5.0,4.0,696.68,541.0,532.58,5.23,6.53,6.53,29.43,29.14,28.61,124.84,121.48,2450.0,2612.0,1.05,1.07,39.0,38.0,29.0,31.0,1985-07-24,195.0,CAN,R,37.0,C,185.42000000000002,L'Ancienne-Lorette,QC,2003,2,45,2003.0
21102,8477887,2023,Patrick Brown,BOS,5on5,11,5150.0,125.0,-0.46,0.37,0.49,0.41,0.47,0.43,0.48,123.0,6.48,0.54,0.42,1.75,0.27,3.93,3.09,0.54,0.54,0.54,0.0,1.0,6.0,4.0,2.0,12.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,6.0,10.0,1.0,2.0,12.0,25.0,0.0,1.0,8.0,1.0,1.0,0.23,0.09,0.22,0.0,0.0,0.0,12.55,10.0,10.44,1.0,0.09,0.2,0.0,0.63,0.63,0.63,125.0,3.0,27.0,28.0,67.0,23.0,19.0,12.0,71.0,12.0,15.0,24674.0,2.0,0.0,0.0,3.0,30.34,1.59,1.58,1.65,1.64,32.0,11.0,14.0,57.0,2.0,1.0,0.0,37.0,4.0,2.0,0.74,0.43,0.43,1.0,1.0,0.0,61.68,43.0,45.89,0.36,0.2,0.2,1.74,1.81,1.8,41.3,2.7,2.66,2.58,2.55,40.0,18.0,23.0,81.0,4.0,1.0,0.0,49.0,8.0,1.0,1.38,1.07,0.25,3.0,1.0,0.0,76.74,58.0,55.35,0.54,0.25,0.25,2.99,2.89,2.84,16.22,17.12,385.0,429.0,0.02,0.06,3.0,5.0,1.0,5.0,1992-05-29,214.0,USA,R,36.0,C,180.34,Bloomfield Hills,MI,--,--,--,2014.0
3412,8474008,2019,Paul Carey,BOS,5on5,1,351.0,7.0,-0.4,0.1,0.44,0.25,0.42,0.27,0.45,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0,2807.0,0.0,0.0,0.0,1.0,2.11,0.06,0.06,0.06,0.06,2.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,2.97,3.0,2.98,0.02,0.0,0.0,0.08,0.08,0.08,5.63,0.56,0.53,0.56,0.54,6.0,2.0,1.0,9.0,1.0,2.0,0.0,6.0,1.0,1.0,0.2,0.14,0.22,1.0,0.0,0.0,8.95,8.0,7.85,0.1,0.27,0.27,0.39,0.39,0.39,1.69,2.17,28.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1988-09-24,200.0,USA,L,28.0,C,185.42000000000002,Boston,MA,2007,5,135,2013.0
17857,8478401,2022,Pavel Zacha,BOS,5on5,82,62450.0,1366.0,53.05,0.5,0.55,0.5,0.52,0.5,0.52,452.0,90.42,10.62,6.8,19.24,2.95,48.79,35.6,10.35,10.72,10.46,12.0,16.0,94.0,30.0,32.0,156.0,43.0,15.0,8.0,1.0,18.0,7.0,26.0,50.0,79.0,109.0,7.0,14.0,99.0,57.0,25.0,30.0,70.0,45.0,9.0,2.88,5.39,2.35,8.0,6.0,1.0,161.49,124.0,127.23,14.0,1.43,1.83,1.82,10.22,10.36,10.22,1366.0,205.0,128.0,202.0,831.0,206.0,219.0,188.0,753.0,99.0,128.0,172180.0,14.0,10.0,5.0,14.0,522.65,48.3,47.2,49.3,48.2,533.0,186.0,248.0,967.0,65.0,32.0,5.0,516.0,159.0,44.0,16.78,20.1,11.42,35.0,21.0,9.0,996.97,719.0,738.91,7.35,7.34,7.34,48.31,49.29,48.75,520.07,48.36,46.52,47.71,45.91,505.0,205.0,251.0,961.0,39.0,50.0,5.0,508.0,155.0,47.0,15.09,19.47,13.8,11.0,18.0,10.0,936.79,710.0,695.88,7.28,11.0,11.15,44.43,43.82,43.06,140.31,113.78,2726.0,2558.0,1.5,1.21,47.0,37.0,40.0,28.0,1997-04-06,210.0,CZE,L,37.0,C,190.5,Brno,--,2015,1,6,2015.0
19822,8478401,2023,Pavel Zacha,BOS,5on5,78,60418.0,1336.0,53.17,0.48,0.51,0.48,0.46,0.48,0.47,429.0,90.13,10.37,6.85,19.37,2.78,48.76,34.86,10.16,10.49,10.28,11.0,14.0,82.0,41.0,28.0,151.0,38.0,13.0,8.0,1.0,9.0,0.0,47.0,46.0,69.0,110.0,8.0,16.0,396.0,95.0,18.0,25.0,79.0,33.0,11.0,3.39,4.12,2.86,5.0,4.0,4.0,154.34,123.0,124.68,9.0,1.44,1.8,1.89,9.93,10.03,9.96,1336.0,232.0,156.0,186.0,762.0,145.0,213.0,219.0,759.0,396.0,345.0,167920.0,16.0,24.0,12.0,25.0,509.21,43.28,42.19,43.96,42.85,483.0,226.0,229.0,938.0,56.0,49.0,7.0,549.0,116.0,44.0,17.03,14.44,11.81,26.0,17.0,13.0,958.1,709.0,722.99,7.15,9.31,9.5,40.92,41.49,41.01,551.4,46.73,44.76,46.67,44.7,522.0,236.0,264.0,1022.0,33.0,58.0,6.0,574.0,127.0,57.0,15.62,16.01,15.1,14.0,11.0,8.0,1009.91,758.0,750.95,7.47,10.85,11.12,43.08,42.95,42.04,116.18,113.32,2416.0,2814.0,2.77,0.92,43.0,36.0,34.0,28.0,1997-04-06,210.0,CZE,L,37.0,C,190.5,Brno,--,2015,1,6,2015.0
92,8477417,2019,Peter Cehlarik,BOS,5on5,3,1883.0,47.0,1.45,0.56,0.53,0.65,0.48,0.7,0.48,26.0,0.8,0.02,0.04,0.32,0.03,0.35,0.24,0.02,0.02,0.02,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,2.01,1.0,1.03,0.0,0.01,0.0,0.0,0.03,0.03,0.03,47.0,7.0,1.0,14.0,25.0,11.0,11.0,8.0,17.0,1.0,1.0,6470.0,2.0,0.0,0.0,2.0,21.5,1.14,1.13,1.18,1.18,22.0,8.0,12.0,42.0,1.0,1.0,0.0,26.0,4.0,0.0,0.64,0.5,0.0,1.0,0.0,0.0,45.05,30.0,31.84,0.28,0.02,0.02,1.39,1.45,1.44,9.45,0.91,0.88,0.87,0.84,12.0,1.0,10.0,23.0,2.0,2.0,2.0,9.0,3.0,1.0,0.21,0.42,0.27,0.0,1.0,1.0,21.98,13.0,12.47,0.12,0.45,0.45,0.58,0.56,0.55,3.44,3.09,81.0,87.0,0.04,0.2,2.0,1.0,2.0,1.0,1995-08-02,202.0,SVK,L,22.0,L,187.96,Zilina,--,2013,3,90,2016.0
2642,8476374,2019,Sean Kuraly,BOS,5on5,69,46794.0,1035.0,17.08,0.48,0.53,0.46,0.52,0.46,0.52,550.0,90.79,6.49,5.78,21.77,2.89,48.01,37.06,6.16,6.48,6.15,5.0,7.0,88.0,34.0,28.0,150.0,18.0,6.0,4.0,1.0,25.0,6.0,33.0,48.0,82.0,116.0,11.0,22.0,214.0,137.0,21.0,23.0,94.0,24.0,4.0,2.49,2.77,1.24,2.0,3.0,1.0,152.23,122.0,123.47,7.0,1.19,1.17,0.95,6.72,6.74,6.65,1035.0,61.0,162.0,156.0,656.0,178.0,130.0,170.0,557.0,214.0,192.0,155583.0,22.0,20.0,10.0,25.0,359.01,28.15,27.46,28.52,27.82,350.0,146.0,139.0,635.0,27.0,20.0,5.0,382.0,93.0,21.0,10.11,11.62,6.42,8.0,12.0,7.0,649.34,496.0,504.48,4.7,4.4,4.97,27.88,28.19,27.92,413.78,30.68,29.88,30.36,29.59,407.0,172.0,174.0,753.0,29.0,24.0,3.0,457.0,99.0,23.0,12.19,11.93,6.55,17.0,9.0,3.0,740.33,579.0,571.13,5.37,4.55,4.64,31.41,31.12,30.77,98.27,86.24,2344.0,2149.0,1.26,1.52,30.0,24.0,22.0,22.0,1993-01-20,213.0,USA,L,52.0,C,187.96,Niagara Falls,NY,2011,5,133,2016.0
5657,8476374,2020,Sean Kuraly,BOS,5on5,47,33509.0,709.0,11.95,0.45,0.56,0.49,0.56,0.5,0.57,321.0,70.17,5.29,4.58,16.38,2.24,38.32,29.2,5.2,5.39,5.31,2.0,2.0,75.0,21.0,21.0,117.0,8.0,4.0,2.0,0.0,20.0,5.0,29.0,36.0,71.0,92.0,10.0,20.0,176.0,92.0,16.0,11.0,71.0,24.0,1.0,2.07,2.94,0.28,1.0,3.0,0.0,119.7,96.0,97.7,4.0,0.94,0.33,0.59,5.64,5.77,5.74,709.0,30.0,123.0,115.0,441.0,146.0,105.0,92.0,366.0,176.0,126.0,105433.0,20.0,16.0,8.0,17.0,263.17,17.27,16.98,17.64,17.34,271.0,95.0,94.0,460.0,15.0,8.0,2.0,301.0,58.0,7.0,8.44,7.07,1.77,7.0,5.0,3.0,470.23,366.0,373.56,3.36,1.45,1.45,19.19,19.61,19.39,261.68,20.92,20.21,20.56,19.86,249.0,112.0,116.0,477.0,25.0,17.0,5.0,285.0,58.0,18.0,8.2,6.9,5.83,10.0,10.0,5.0,466.48,361.0,354.64,3.55,4.76,4.76,19.7,19.41,19.13,70.27,55.6,1707.0,1324.0,0.39,0.56,15.0,12.0,13.0,7.0,1993-01-20,213.0,USA,L,52.0,C,187.96,Niagara Falls,NY,2011,5,133,2016.0
9742,8476396,2021,Steven Fogarty,BOS,5on5,2,1202.0,28.0,-0.13,0.33,0.38,0.56,0.45,0.56,0.44,19.0,1.5,0.14,0.11,0.2,0.04,0.92,0.59,0.14,0.14,0.14,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,7.0,0.0,1.0,1.0,1.0,1.0,0.0,0.06,0.09,0.0,0.0,0.0,0.0,1.91,2.0,1.92,0.0,0.02,0.0,0.0,0.17,0.16,0.16,28.0,4.0,1.0,6.0,17.0,6.0,7.0,5.0,10.0,7.0,9.0,4615.0,2.0,0.0,0.0,0.0,10.26,0.45,0.45,0.44,0.44,12.0,2.0,6.0,20.0,0.0,0.0,0.0,12.0,2.0,0.0,0.26,0.18,0.0,0.0,0.0,0.0,18.97,14.0,13.65,0.11,0.0,0.0,0.55,0.55,0.55,7.97,0.92,0.91,0.94,0.93,8.0,3.0,5.0,16.0,2.0,0.0,0.0,6.0,4.0,1.0,0.14,0.46,0.32,0.0,1.0,1.0,17.14,11.0,11.31,0.13,0.0,0.0,1.04,1.07,1.06,1.9,3.06,56.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1993-04-19,210.0,USA,R,38.0,C,190.5,Chambersburg,PA,2011,3,72,2017.0
6277,8475791,2020,Taylor Hall,BOS,5on5,53,46210.0,977.0,44.02,0.57,0.49,0.57,0.49,0.57,0.49,207.0,101.98,9.28,7.52,22.17,3.22,56.43,40.37,9.12,9.33,9.16,7.0,9.0,97.0,42.0,37.0,176.0,22.0,6.0,8.0,1.0,18.0,3.0,46.0,58.0,91.0,133.0,6.0,14.0,5.0,30.0,17.0,26.0,96.0,37.0,6.0,3.22,4.49,1.57,1.0,4.0,1.0,176.52,139.0,139.72,7.0,1.57,1.88,0.85,10.0,10.02,9.9,977.0,178.0,71.0,169.0,559.0,109.0,145.0,156.0,567.0,5.0,4.0,115084.0,14.0,34.0,18.0,15.0,419.43,34.82,33.6,34.91,33.7,406.0,179.0,172.0,757.0,32.0,34.0,2.0,440.0,117.0,28.0,12.57,14.42,7.83,13.0,15.0,4.0,758.89,585.0,586.17,5.97,6.74,6.78,34.0,34.06,33.53,323.38,26.34,25.54,26.71,25.9,349.0,98.0,129.0,576.0,30.0,24.0,4.0,334.0,93.0,20.0,9.65,11.12,5.57,12.0,12.0,6.0,582.84,447.0,452.66,4.41,5.0,5.36,25.4,25.67,25.35,70.32,73.21,1561.0,1628.0,1.23,0.8,27.0,25.0,23.0,21.0,1991-11-14,205.0,CAN,L,9.0,L,185.42000000000002,Calgary,AB,2010,1,1,2010.0
11132,8475791,2021,Taylor Hall,BOS,5on5,81,63344.0,1349.0,71.39,0.57,0.57,0.55,0.54,0.57,0.55,397.0,141.69,12.6,9.39,31.53,4.41,76.55,55.72,12.45,12.76,12.61,19.0,11.0,162.0,31.0,51.0,244.0,40.0,10.0,10.0,0.0,36.0,2.0,47.0,88.0,152.0,183.0,19.0,38.0,16.0,46.0,32.0,37.0,137.0,47.0,9.0,4.41,5.9,2.28,3.0,3.0,4.0,248.04,193.0,195.72,11.0,1.95,2.68,0.78,13.58,13.76,13.66,1349.0,238.0,89.0,165.0,857.0,175.0,249.0,188.0,737.0,16.0,17.0,171583.0,38.0,28.0,13.0,36.0,613.81,48.54,47.36,49.32,48.1,664.0,205.0,211.0,1080.0,59.0,32.0,13.0,675.0,165.0,29.0,20.32,19.84,8.37,23.0,22.0,14.0,1100.0,869.0,883.7,8.24,7.31,7.31,48.82,49.45,48.82,474.84,36.75,36.2,36.65,36.1,485.0,183.0,216.0,884.0,42.0,23.0,3.0,515.0,128.0,25.0,14.5,15.31,6.93,17.0,18.0,7.0,874.31,668.0,663.34,6.33,4.92,4.73,37.9,37.72,37.44,127.73,96.5,2744.0,2302.0,1.18,2.0,34.0,42.0,25.0,31.0,1991-11-14,205.0,CAN,L,9.0,L,185.42000000000002,Calgary,AB,2010,1,1,2010.0
16577,8475791,2022,Taylor Hall,BOS,5on5,61,48081.0,1084.0,42.04,0.52,0.56,0.51,0.52,0.52,0.52,280.0,112.69,12.57,8.0,24.59,3.51,58.59,43.74,12.32,12.73,12.47,10.0,6.0,114.0,37.0,47.0,198.0,25.0,9.0,8.0,0.0,32.0,5.0,49.0,48.0,105.0,142.0,11.0,22.0,2.0,30.0,24.0,34.0,95.0,43.0,13.0,3.34,5.64,3.59,3.0,6.0,0.0,202.9,151.0,154.23,10.0,1.68,1.41,2.14,12.11,12.3,12.19,1084.0,140.0,100.0,164.0,680.0,188.0,184.0,135.0,577.0,2.0,3.0,127260.0,22.0,34.0,17.0,33.0,431.21,37.68,36.64,38.01,36.98,431.0,166.0,198.0,795.0,38.0,32.0,3.0,434.0,131.0,32.0,13.24,16.06,8.38,22.0,13.0,3.0,815.8,597.0,609.87,6.14,5.99,5.69,38.13,38.59,38.06,401.03,34.42,33.32,33.86,32.78,381.0,170.0,205.0,756.0,28.0,34.0,1.0,403.0,114.0,34.0,11.62,13.9,8.9,8.0,13.0,7.0,736.11,551.0,540.63,5.6,5.64,5.64,34.38,33.83,33.24,104.46,83.01,1993.0,1871.0,1.6,1.33,24.0,34.0,20.0,30.0,1991-11-14,205.0,CAN,L,9.0,L,185.42000000000002,Calgary,AB,2010,1,1,2010.0
